ts	docker_cpu_pct	docker_mem	gpu_w	cp_cpu_m	cp_mem_mi	http_code
09:14:22	59.58%	8.698GiB / 29.96GiB	5.24	125	1380	200
09:14:44	130.42%	8.722GiB / 29.96GiB	5.23	67	1381	200
09:15:05	59.68%	8.714GiB / 29.96GiB	5.26	88	1223	200
09:15:26	45.36%	8.717GiB / 29.96GiB	5.20	65	1221	200
09:15:47	46.90%	8.733GiB / 29.96GiB	5.22	63	1223	200
09:16:08	61.95%	8.729GiB / 29.96GiB	5.20	68	1214	200
09:16:30	53.92%	8.731GiB / 29.96GiB	5.21	71	1213	200
09:16:51	74.24%	8.701GiB / 29.96GiB	5.22	66	1215	200
09:17:12	48.94%	8.709GiB / 29.96GiB	5.24	83	1156	200
09:17:34	56.81%	8.705GiB / 29.96GiB	5.20	63	1156	200
09:17:55	50.86%	8.712GiB / 29.96GiB	5.22	64	1155	200
09:18:16	49.84%	8.72GiB / 29.96GiB	5.22	63	1156	200
09:18:37	71.19%	8.72GiB / 29.96GiB	5.27	67	1156	200
09:18:58	96.88%	8.697GiB / 29.96GiB	5.20	62	1158	200
09:19:20	52.23%	8.705GiB / 29.96GiB	5.24	67	1140	200
09:19:41	49.68%	8.733GiB / 29.96GiB	5.26	65	1142	200
09:20:02	53.27%	8.728GiB / 29.96GiB	5.23	70	1142	200
09:20:24	48.81%	8.723GiB / 29.96GiB	5.23	73	1140	200
09:20:45	79.47%	8.748GiB / 29.96GiB	5.19	70	1142	200
09:21:07	54.02%	8.694GiB / 29.96GiB	5.21	84	1141	200
09:21:28	53.79%	8.7GiB / 29.96GiB	5.22	70	1141	200
09:21:49	53.26%	8.7GiB / 29.96GiB	5.18	64	1140	200
09:22:10	58.65%	8.7GiB / 29.96GiB	5.19	65	1142	200
09:22:31	65.04%	8.689GiB / 29.96GiB	5.22	66	1141	200
09:22:52	54.89%	8.685GiB / 29.96GiB	5.21	61	1140	200
09:23:14	83.52%	8.708GiB / 29.96GiB	5.22	79	1142	200
09:23:35	63.18%	8.69GiB / 29.96GiB	5.20	70	1142	200
09:23:56	56.93%	8.702GiB / 29.96GiB	5.20	71	1141	200
09:24:17	49.24%	8.726GiB / 29.96GiB	5.23	70	1142	200
09:24:38	63.15%	8.765GiB / 29.96GiB	5.24	64	1142	200
